reaction	linear_coefficient
EX_cd2_e	[0.011996981791048779]
3OAR80	[0.00320999128070663]
EX_cbi_e	[0.011996981791048779]
EX_cbl1_e	[0.011996981791048779]
2AGPEAT120	[0.0096521892934977]
2AGPEAT140	[0.0096521892934977]
3OAS100	[0.0033016349418232764]
12DGR120tipp	[0.011996981791048779]
2AGPEAT141	[0.0096521892934977]
3OAS120	[0.0033016349418232764]
2AGPEAT160	[0.0096521892934977]
2AGPEAT161	[0.0096521892934977]
2AGPEAT180	[0.0096521892934977]
12DGR140tipp	[0.011996981791048779]
2AGPEAT181	[0.0096521892934977]
3OAS121	[0.0033016349418232764]
2AGPG120tipp	[0.037374032531598024]
2AGPG140tipp	[0.037374032531598024]
12DGR141tipp	[0.011996981791048779]
12DGR160tipp	[0.011996981791048779]
12DGR161tipp	[0.011996981791048779]
2AGPG141tipp	[0.037374032531598024]
12DGR180tipp	[0.011996981791048779]
3OAS140	[0.0033016349418232764]
12DGR181tipp	[0.011996981791048779]
2AGPG160tipp	[0.037374032531598024]
3OAS141	[0.0033016349418232764]
2AGPG161tipp	[0.037374032531598024]
2AGPG180tipp	[0.037374032531598024]
2AGPG181tipp	[0.037374032531598024]
2AGPGAT120	[0.0096521892934977]
2AGPGAT140	[0.0096521892934977]
2AGPGAT141	[0.0096521892934977]
2AGPGAT160	[0.0096521892934977]
2AGPGAT161	[0.0096521892934977]
2AGPGAT180	[0.0096521892934977]
3OAS160	[0.0033016349418232764]
2AGPGAT181	[0.0096521892934977]
3OAS161	[0.0033016349418232764]
3OAS180	[0.0033016349418232764]
3OAS181	[np.float64(0.0037751224030668573)]
3OAS60	[0.0033016349418232764]
3OAS80	[0.0033016349418232764]
3OXCOAT	[0.006545502652180795]
3PEPTabcpp	[np.float64(0.0037751224030668573)]
12PPDt	[0.36418663102955834]
3PEPTtex	[0.00044489429360646855]
2DGLCNRx	[0.006693470545510929]
2DGLCNRy	[0.006693470545510929]
13PPDH	[0.36418663102955834]
2DGULRx	[0.006693470545510929]
3UMPtex	[0.00044489429360646855]
2DGULRy	[0.006693470545510929]
13PPDtex	[0.011996981791048779]
13PPDtpp	[0.011996981791048779]
42A12BOOXpp	[0.007420551076133361]
14GLUCANabcpp	[0.11585181299577449]
4HOXPACDtex	[0.00044489429360646855]
14GLUCANtexi	[0.36418663102955834]
23CAMPtex	[0.00044489429360646855]
23CCMPtex	[0.00044489429360646855]
23CGMPtex	[0.00044489429360646855]
23CUMPtex	[0.00044489429360646855]
23DAPPAt2pp	[0.011996981791048779]
2INSD	[0.010515272210115037]
2MAHMP	[0.004720293090059658]
4HTHRS	[0.009343457072628878]
34dhpactex	[0.00044489429360646855]
3AMPtex	[0.00044489429360646855]
23DAPPAtex	[0.00044489429360646855]
23PDE2pp	[np.float64(0.0037751224030668573)]
23PDE4pp	[np.float64(0.0037751224030668573)]
3CMPtex	[0.00044489429360646855]
23PDE7pp	[np.float64(0.0037751224030668573)]
4PCP	[0.006117823980215606]
23PDE9pp	[np.float64(0.0037751224030668573)]
3GMPtex	[0.00044489429360646855]
3HAD100	[np.float64(0.0037751224030668573)]
3HAD120	[np.float64(0.0037751224030668573)]
4PCPpp	[0.011996981791048779]
3HAD121	[np.float64(0.0037751224030668573)]
26DAHtex	[0.00044489429360646855]
2AGPA120tipp	[0.037374032531598024]
2AGPA140tipp	[0.037374032531598024]
3HAD140	[np.float64(0.0037751224030668573)]
3HAD141	[np.float64(0.0037751224030668573)]
3HAD160	[np.float64(0.0037751224030668573)]
2AGPA141tipp	[0.037374032531598024]
2AGPA160tipp	[0.037374032531598024]
2AGPA161tipp	[0.037374032531598024]
2AGPA180tipp	[0.037374032531598024]
2AGPA181tipp	[0.037374032531598024]
3HAD161	[np.float64(0.0037751224030668573)]
2AGPE120tipp	[0.037374032531598024]
3HAD180	[np.float64(0.0037751224030668573)]
4PEPTabcpp	[0.002657716820152532]
3HAD181	[np.float64(0.0037751224030668573)]
2AGPE140tipp	[0.037374032531598024]
2AGPE141tipp	[0.037374032531598024]
3HAD40	[np.float64(0.0037751224030668573)]
2AGPE160tipp	[0.037374032531598024]
3HAD60	[np.float64(0.0037751224030668573)]
4PEPTtex	[0.00044489429360646855]
3HAD80	[np.float64(0.0037751224030668573)]
2AGPE161tipp	[0.037374032531598024]
2AGPE180tipp	[0.037374032531598024]
3HCINNMH	[0.3698660109855745]
5DGLCNtex	[0.00044489429360646855]
3HPPPNH	[0.3698660109855745]
2AGPE181tipp	[0.037374032531598024]
3NTD2pp	[np.float64(0.0037751224030668573)]
5DOAN	[0.0037570865014269197]
3NTD4pp	[np.float64(0.0037751224030668573)]
3NTD7pp	[np.float64(0.0037751224030668573)]
3NTD9pp	[np.float64(0.0037751224030668573)]
ACGALtex	[0.00044489429360646855]
ACGAM1Ptex	[0.00044489429360646855]
A5PISO	[0.007226076726512024]
ACGAMK	[0.0074693704081509075]
ACGAMT	[0.03457112959016958]
AACPS1	[0.00031152199309638983]
ACGAptspp	[0.0025264714377047867]
AACPS2	[0.00031152199309638983]
ACGAtex	[0.00044489429360646855]
AACPS3	[0.00031152199309638983]
ACGK	[0.07553601404654282]
ACGS	[0.36418663102955834]
AACPS4	[0.00031152199309638983]
ACHBS	[0.0038946472177781404]
ACKr	[np.float64(0.0037751224030668573)]
3OADPCOAT	[0.006024885459067501]
AACPS5	[0.00031152199309638983]
3OAR100	[0.00320999128070663]
AACPS6	[0.00031152199309638983]
3OAR120	[0.00320999128070663]
AACPS7	[0.00031152199309638983]
3OAR121	[0.00320999128070663]
3OAR140	[0.00320999128070663]
ACLDC	[0.36418663102955834]
ACLS	[0.0038946472177781404]
3OAR141	[0.00320999128070663]
ACLS_a	[0.011996981791048779]
AACPS8	[0.00031152199309638983]
ACMAMUT	[0.36418663102955834]
ACMANAptspp	[0.0025264714377047867]
ACMANAtex	[0.00044489429360646855]
3OAR160	[0.00320999128070663]
3OAR161	[0.00320999128070663]
3OAR180	[0.00320999128070663]
3OAR181	[0.00320999128070663]
3OAR40	[0.00320999128070663]
3OAR60	[0.00320999128070663]
ACMUMptspp	[0.0025264714377047867]
ACMUMtex	[0.00044489429360646855]
AACPS9	[0.00031152199309638983]
ACOAD1f	[np.float64(0.0037751224030668573)]
ADNK1	[0.005280696090250054]
ACOAD2f	[np.float64(0.0037751224030668573)]
AADDGT	[0.36418663102955834]
ACOAD3f	[np.float64(0.0037751224030668573)]
ACOAD4f	[np.float64(0.0037751224030668573)]
ADNUC	[0.0047556850229273405]
ADNt2pp	[0.006322627357656415]
AAMYL	[0.009430457028707545]
ADNtex	[0.005867275432420022]
ADOCBIK	[0.36418663102955834]
ACOAD5f	[np.float64(0.0037751224030668573)]
ACOAD6f	[np.float64(0.0037751224030668573)]
ACOAD7f	[np.float64(0.0037751224030668573)]
ACOAD8f	[np.float64(0.0037751224030668573)]
ADOCBLS	[0.3060390478743079]
ADOCBLabcpp	[0.005085019785456431]
AAMYLpp	[0.36418663102955834]
ADOCBLtonex	[np.float64(0.0037751224030668573)]
ADPRDP	[np.float64(0.0037751224030668573)]
ADPT	[0.034638363652075274]
ADSK	[0.36418663102955834]
ACOATA	[0.00031152199309638983]
ACODA	[0.008073410638321109]
ADSL1r	[0.004720293090059658]
AB6PGH	[0.007226076726512024]
ADSL2r	[0.004720293090059658]
ADSS	[0.0026434339782670435]
AGDC	[0.007699933065032731]
ACOLIPAtex	[0.011996981791048779]
ACONIs	[0.011996981791048779]
ACONMT	[0.11585181299577449]
ABTA	[np.float64(0.0037751224030668573)]
ACONTa	[0.0026434339782670435]
AGM3PA	[0.004494194178928647]
ACONTb	[0.0026434339782670435]
AGM3PApp	[np.float64(0.0037751224030668573)]
ABTDG	[0.36418663102955834]
AGM3PH	[0.011024320720316783]
ACOTA	[0.0026742871484337423]
AGM3Pt2pp	[0.006901591232294102]
ACPS1	[0.36418663102955834]
ABUTD	[0.009863428404933523]
ACS	[0.002599812412199252]
AGM4PA	[0.004494194178928647]
AGM4PApp	[np.float64(0.0037751224030668573)]
ACSERtex	[0.00044489429360646855]
AGM4PCP	[0.006117823980215606]
ACSERtpp	[0.04595210020179152]
ABUTt2pp	[0.004720293090059658]
ACTD	[0.36418663102955834]
ACTDa	[0.36418663102955834]
AGM4PCPpp	[0.011996981791048779]
AGM4PH	[0.011024320720316783]
AGM4Pt2pp	[0.006901591232294102]
AGMH	[0.011024320720316783]
AGMHE	[np.float64(0.0037751224030668573)]
ACt2rpp	[0.011996981791048779]
ACt4pp	[0.010738880574540512]
ACtex	[0.00044489429360646855]
ADA	[0.00314554728475137]
ABUTtex	[0.00044489429360646855]
ADCL	[0.03595054074198269]
ACACT1r	[0.006545502652180795]
AGMPTRCtpp	[0.36418663102955834]
ACALD	[np.float64(0.0037751224030668573)]
ACALDtex	[0.00044489429360646855]
AGMT	[0.006901591232294102]
AGMt2pp	[0.006901591232294102]
ADCPS1	[0.1175136559139859]
ACALDtpp	[0.011996981791048779]
ADCS	[0.010515272210115037]
AGMtex	[0.00044489429360646855]
AGPAT120	[np.float64(0.0037751224030668573)]
AGPAT140	[np.float64(0.0037751224030668573)]
ACANTHAT	[0.008833275095473568]
ACBIPGT	[0.36418663102955834]
ACCOAC	[np.float64(0.0037751224030668573)]
ACGAL1Ptex	[0.00044489429360646855]
ADNCYC	[0.0034570894407536436]
ADCYRS	[0.36418663102955834]
ADD	[0.36418663102955834]
AGPAT141	[np.float64(0.0037751224030668573)]
ALAtex	[0.00044489429360646855]
AGPAT160	[np.float64(0.0037751224030668573)]
AGPAT161	[np.float64(0.0037751224030668573)]
AGPAT180	[np.float64(0.0037751224030668573)]
AGPAT181	[np.float64(0.0037751224030668573)]
AGPR	[0.36418663102955834]
AGt3	[0.36418663102955834]
ADEt2rpp	[0.36418663102955834]
ADEtex	[0.00044489429360646855]
ADK1	[0.005280696090250054]
ADK3	[0.005280696090250054]
ADK4	[0.005280696090250054]
ADMDC	[0.00808817434604795]
ARGt3pp	[0.36418663102955834]
ARGtex	[0.00044489429360646855]
AHCi	[np.float64(0.0037751224030668573)]
AHCYSNS	[0.0071025192866629476]
23DK5MPPISO	[0.011996981791048779]
ALCD19	[0.005960220861440964]
ASAD	[0.002973188735356846]
ASCBPL	[0.36418663102955834]
AICART	[0.010738880574540512]
AIRC2	[0.007322591861165926]
AIRC3	[0.005820014153749305]
AKGDH	[0.0021259449913262024]
ASCBptspp	[0.0025264714377047867]
ASCBtex	[0.00044489429360646855]
ASNN	[0.003931757068791163]
AKGt2rpp	[np.float64(0.0037751224030668573)]
ALCD2x	[0.0035870427354150127]
AKGtex	[0.00044489429360646855]
ALAALAabcpp	[np.float64(0.0037751224030668573)]
ALAALAr	[0.004720293090059658]
ALAALAtex	[0.00044489429360646855]
ALAGLUE	[0.007846766935129852]
ASNNpp	[0.09558659366636922]
ASNS1	[0.05752396166613125]
ASNS2	[0.057815974310841456]
ASNTRS	[np.float64(0.0037751224030668573)]
ASNt2rpp	[0.07553601404654282]
ASNtex	[0.00044489429360646855]
ASO3t8pp	[0.36418663102955834]
ALCD3ir	[0.3698660109855745]
ASO3tex	[0.00044489429360646855]
ASP1DC	[0.003147159205478446]
ASPCT	[0.045647130903167694]
ALDD19xr	[0.004670784681346172]
ASPK	[0.009863428404933523]
ASPO3	[0.36418663102955834]
ALAR	[0.0022488303508380663]
ALATA_D2	[0.0036336825920949287]
ALDD2x	[0.36418663102955834]
ALATA_L	[0.011996981791048779]
ALATA_L2	[0.0036336825920949287]
ASPO4	[0.36418663102955834]
ASPO5	[0.36418663102955834]
ALDD2y	[0.0001046588331215737]
ASPO6	[0.36418663102955834]
ALATRS	[np.float64(0.0037751224030668573)]
ALDD3y	[0.0001046588331215737]
ALAabcpp	[0.0467276975904941]
ALAt2pp	[0.0026425919301260336]
ASPT	[0.002313753072358807]
ASPTA	[0.002771762468017001]
ASPTRS	[0.004720293090059658]
ASPabcpp	[0.0022884703660405676]
ASPt2_2pp	[0.004216064137621043]
ASPt2_3pp	[0.008082478018745513]
ALAt4pp	[0.36418663102955834]
ALLPI	[0.36418663102955834]
ASPt2pp	[0.038733187685561714]
ASPtex	[0.00044489429360646855]
AST	[0.0026489037923686193]
BZDIOLDH	[0.3698660109855745]
ALLTAMH	[0.36418663102955834]
ALLTN	[0.05264076825431193]
BZt	[0.011996981791048779]
ALLULPE	[0.36418663102955834]
ATHRDHr	[np.float64(0.0037751224030668573)]
ATPM	[0.011996981791048779]
ATPPRT	[0.36418663102955834]
ALLtex	[0.00044489429360646855]
ATPS4rpp	[0.0027808398282112433]
BALAt2pp	[0.0026425919301260336]
BALAtex	[0.00044489429360646855]
BETALDHx	[0.010907370510271778]
CA2t3pp	[0.36418663102955834]
CA2tex	[0.00044489429360646855]
ALPATE160pp	[0.0001046588331215737]
CADVtpp	[0.36418663102955834]
CAT	[np.float64(0.0037751224030668573)]
BETALDHy	[0.010907370510271778]
BGLK	[0.00836879009844714]
BLUB	[0.011996981791048779]
BPNT	[0.011996981791048779]
BSORx	[0.36418663102955834]
BSORy	[0.36418663102955834]
CATDOX	[0.0054393414778567345]
CAt6pp	[0.007711135875088314]
CBIAT	[0.004650954536944112]
CBItonex	[np.float64(0.0037751224030668573)]
ALPATG160pp	[0.0001046588331215737]
CBIuabcpp	[0.005085019785456431]
CBL1abcpp	[0.005085019785456431]
CBL1tonex	[np.float64(0.0037751224030668573)]
ALR2	[0.004470752961793577]
CBLAT	[0.004650954536944112]
BTDD_RR	[0.011996981791048779]
ALR4x	[0.034743495976679056]
BTDt_RR	[0.011996981791048779]
BTS4	[0.36418663102955834]
CBPS	[0.06897414447998353]
CD2abcpp	[0.09106253595232988]
BUTCT	[0.006024885459067501]
BUTSO3abcpp	[0.040089130149306415]
CD2t3pp	[0.007990752224301243]
BUTSO3tex	[0.00044489429360646855]
ALTRH	[0.011024320720316783]
BUTtex	[0.00044489429360646855]
CD2tex	[0.00044489429360646855]
CD2tpp	[0.007534073541973199]
CDAPPA120	[0.36418663102955834]
BZ12DOX	[0.36418663102955834]
AM3PA	[0.004494194178928647]
CDAPPA140	[0.36418663102955834]
CDAPPA141	[0.36418663102955834]
CDAPPA160	[0.36418663102955834]
CDAPPA161	[0.36418663102955834]
CLPNS181pp	[0.0076305920288904355]
CLt3_2pp	[0.15318588355054288]
AM4PA	[0.004494194178928647]
CLtex	[0.00044489429360646855]
CDAPPA180	[0.36418663102955834]
CDAPPA181	[0.36418663102955834]
CDPMEK	[np.float64(0.0037751224030668573)]
AM4PCP	[0.006117823980215606]
CELLBabc	[0.011996981791048779]
CFAS160E	[0.003164509741082395]
CMCMSAD	[np.float64(0.0037751224030668573)]
CMHMI	[np.float64(0.0037751224030668573)]
CMPtex	[0.00044489429360646855]
CFAS160G	[0.003164509741082395]
AMALT1	[0.06356063517969497]
CFAS180E	[0.003164509741082395]
CO2tex	[0.00044489429360646855]
CO2tpp	[0.011996981791048779]
CFAS180G	[0.003164509741082395]
AMALT2	[0.06356063517969497]
COBALT2abcpp	[0.09106253595232988]
COBALT2t3pp	[0.007990752224301243]
CGLYabcpp	[np.float64(0.0037751224030668573)]
AMALT3	[0.06356063517969497]
CGLYtex	[0.00044489429360646855]
COBALT2tex	[0.00044489429360646855]
COBALT2tpp	[0.007534073541973199]
COLIPAabcpp	[np.float64(0.0037751224030668573)]
CHLabcpp	[0.007728379785002437]
CHLt2pp	[0.008236520983855723]
CHLtex	[0.00044489429360646855]
CHORM	[0.003841192350991288]
AMALT4	[0.06356063517969497]
CHORS	[0.004061518114035207]
CHRPL	[0.008663020730684312]
CPC2MT	[0.07647701923409908]
CPC3MT	[0.07398850936907064]
CPC4MT	[0.36418663102955834]
CITACt	[0.36418663102955834]
AMANAPEr	[0.0074693704081509075]
CITL	[0.007226076726512024]
CPC5MT	[0.034638363652075274]
AMAOTr	[0.36418663102955834]
CPC6MT	[0.037374032531598024]
CPC6R	[0.06256142059474873]
CITt4_1	[0.463588300989714]
CLIPAtex	[0.011996981791048779]
CPC8MM	[0.009430457028707545]
CLPNH120pp	[0.011996981791048779]
AMMQLT8	[np.float64(0.0037751224030668573)]
CLPNH140pp	[0.011996981791048779]
CLPNH141pp	[0.011996981791048779]
CPGNabcpp	[0.011729682147820065]
CPPPGO	[0.004494194178928647]
AMPMS2	[0.009343457072628878]
CPPPGO2	[0.003866982555163541]
CLPNH160pp	[0.011996981791048779]
CLPNH161pp	[0.011996981791048779]
CRNDabcpp	[np.float64(0.0037751224030668573)]
CRNDt2rpp	[0.03518916471058945]
CRNabcpp	[np.float64(0.0037751224030668573)]
CRNt2rpp	[0.03518916471058945]
CLPNH180pp	[0.011996981791048779]
CLPNH181pp	[0.011996981791048779]
CLPNS120pp	[0.0076305920288904355]
CLPNS140pp	[0.0076305920288904355]
CRNtex	[0.00044489429360646855]
CS	[0.00228571606329083]
AMPN	[np.float64(0.0037751224030668573)]
CSND	[0.004670784681346172]
CSNt2pp	[0.3698660109855745]
CSNtex	[0.00044489429360646855]
CLPNS141pp	[0.0076305920288904355]
CLPNS160pp	[0.0076305920288904355]
CTBTabcpp	[np.float64(0.0037751224030668573)]
CLPNS161pp	[0.0076305920288904355]
AMPTASECG	[0.002173290432869735]
CLPNS180pp	[0.0076305920288904355]
EX_cgly_e	[0.011996981791048779]
CTBTt2rpp	[0.03518916471058945]
CTPS2	[np.float64(0.0037751224030668573)]
CU1Opp	[0.005472316657112654]
CU1abcpp	[0.010620202798508057]
CU2abcpp	[0.09106253595232988]
AMPTASEPG	[0.0031370847009342187]
AMPtex	[0.00044489429360646855]
ANHGMtex	[0.00044489429360646855]
CU2tex	[0.00044489429360646855]
CU2tpp	[0.007534073541973199]
CUt3	[0.36418663102955834]
CUtex	[0.00044489429360646855]
CYANST	[np.float64(0.0037751224030668573)]
CYSDtex	[0.00044489429360646855]
CYSS	[np.float64(0.0037751224030668573)]
CYSSADS	[0.049496596445290315]
CYANSTpp	[0.36418663102955834]
ANHMK	[0.005085019785456431]
CYANtex	[0.00044489429360646855]
CYNTt2pp	[0.36418663102955834]
ANPRT	[0.36418663102955834]
CYNTtex	[0.00044489429360646855]
CYRDAAT	[0.004650954536944112]
CYRDAR2	[0.011996981791048779]
CYSTGL	[0.36418663102955834]
CYSTL	[0.11933943042418342]
CYSTRS	[np.float64(0.0037751224030668573)]
CYRDAS	[0.011996981791048779]
CYS	[0.36418663102955834]
CYSTS	[0.36418663102955834]
CYSDDS	[0.003931627292655671]
ANS	[0.36418663102955834]
CYSDS	[0.11933943042418342]
CYSabc2pp	[0.005177484062654752]
CYSabcpp	[0.011996981791048779]
AOBUTDs	[0.011996981791048779]
CYStex	[0.00044489429360646855]
CYStpp	[0.04595210020179152]
CYSDabcpp	[0.011996981791048779]
AOXSr	[0.36418663102955834]
CYTBDpp	[0.007031088234525529]
CYTBO3_4pp	[0.0026563662935559095]
CYTD	[0.010907370510271778]
CYTDH	[np.float64(0.0037751224030668573)]
CYTDK2	[0.011492795681219695]
DCYTt2pp	[0.006322627357656415]
DCYTtex	[0.005867275432420022]
AP4AH	[0.0065652731950216125]
DDCAtexi	[0.004978997563790298]
DDGALK	[0.24670139391035847]
CYTDt2pp	[0.006322627357656415]
CYTDtex	[0.00044489429360646855]
CYTK1	[np.float64(0.0037751224030668573)]
DDGLCNt2rpp	[0.36418663102955834]
DDGLCNtex	[0.00044489429360646855]
CYTK2	[np.float64(0.0037751224030668573)]
AP5AH	[0.0065652731950216125]
D_LACt2pp	[0.1690045981533001]
D_LACtex	[0.00044489429360646855]
DDGLK	[0.010907370510271778]
DDPA	[0.002864150222861964]
DDPGALA	[0.36418663102955834]
D5KGK	[0.36418663102955834]
DGK1	[np.float64(0.0037751224030668573)]
APPLDHr	[0.011996981791048779]
DGMPtex	[0.00044489429360646855]
DGSNt2pp	[0.36418663102955834]
DGSNtex	[0.00044489429360646855]
D5KGPA	[0.011996981791048779]
DAAD	[0.0023143334964889272]
DHAD1	[0.010327059149643575]
DACTt3	[0.011996981791048779]
DADA	[0.00314554728475137]
DADK	[0.005280696090250054]
DADNt2pp	[0.006322627357656415]
DHAD2	[0.010327059149643575]
APRAUR	[0.004548385973321327]
DHAK	[0.24670139391035847]
DHAPT	[0.0025264714377047867]
DADNtex	[0.005867275432420022]
DAGK120	[0.009965825669121055]
DAGK140	[0.009965825669121055]
DHAtex	[0.00044489429360646855]
DHAtpp	[0.011996981791048779]
DAGK141	[0.009965825669121055]
APTNAT	[np.float64(0.0037751224030668573)]
DAGK160	[0.009965825669121055]
DHBD	[0.36418663102955834]
DHBS	[0.36418663102955834]
DHBSH	[0.011996981791048779]
DAGK161	[0.009965825669121055]
ARAI	[0.36418663102955834]
DAGK180	[0.009965825669121055]
DAGK181	[0.009965825669121055]
DHCINDO	[0.36418663102955834]
DHDPRy	[0.0038491931010867604]
DHDPS	[0.0029838827525202677]
DHEDAA	[0.010693738070993277]
DALAt2pp	[0.0026425919301260336]
DALAtex	[0.00044489429360646855]
ARAT	[np.float64(0.0037751224030668573)]
DAMPtex	[0.00044489429360646855]
DAPAL	[0.36418663102955834]
DHFR	[0.004807732417914866]
DHFS	[0.010341012482962337]
DHNAOT4	[0.36418663102955834]
DHNPA2r	[0.07553601404654282]
DHORD2	[0.03865134692277772]
DAPAT	[0.011996981791048779]
DAPDC	[0.36418663102955834]
DHORD5	[0.03865134692277772]
ARBTNabcpp	[0.011729682147820065]
DHORTS	[0.044002512285435016]
DAPE	[np.float64(0.0037751224030668573)]
DAPtex	[0.00044489429360646855]
DASYN120	[0.005484140505833499]
DHPACCOAHIT	[0.0031835523769327898]
ARBt2rpp	[0.36418663102955834]
DHPDO	[np.float64(0.0037751224030668573)]
DHPPDA2	[0.004548385973321327]
DASYN140	[0.005484140505833499]
DASYN141	[0.005484140505833499]
DHPS2	[0.03643419826348136]
DASYN160	[0.005484140505833499]
ARBt3ipp	[0.36418663102955834]
DASYN161	[0.005484140505833499]
DASYN180	[0.005484140505833499]
DHPTPE	[np.float64(0.0037751224030668573)]
DHQS	[np.float64(0.0037751224030668573)]
DHQTi	[0.004061518114035207]
DASYN181	[0.005484140505833499]
